id,asset,opening_date,opening_euro_value,closing_date,closing_euro_value,period_yield_pct,asset_growth_pct,growth_factor,cumulative_growth,period_yield_pct_cumprod
157,Nyersanyagpiaci részvény eszközalap,2025-06-10,1.3242,2025-06-10,1.3242,0.0,0.0,1.0,1.0114,1.14
158,Presztízs- és luxusmárkák rv. ea.,2025-06-10,3.3461,2025-06-10,3.3461,0.0,0.0,1.0,1.0015,0.15
159,USA részvény eszközalap,2025-06-10,4.1833,2025-06-10,4.1833,0.0,0.0,1.0,1.015,1.5
160,Ázsia kötvény eszközalap,2025-06-10,2.2331,2025-06-10,2.2331,0.0,0.0,1.0,1.0037,0.37
161,Aktív hozamfigyelõ vegyes eszközalap - D,2025-06-11,0.9274,2025-06-12,0.9269,-0.0005,0.2378,0.9995,1.0037,0.37
162,Euró likviditás eszközalap - D,2025-06-11,0.9242,2025-06-12,0.9244,0.0002,0.0433,1.0002,0.999,-0.1
163,Európai ingatlancégek részv. eszközalap,2025-06-11,1.9182,2025-06-12,1.9028,-0.008,1.648,0.992,0.9861,-1.39
164,Európai kötvény eszközalap - D,2025-06-11,1.2348,2025-06-12,1.2347,-0.0001,0.3005,0.9999,0.9977,-0.23
165,Európai részvény eszközalap,2025-06-11,2.5457,2025-06-12,2.5379,-0.0031,-0.3328,0.9969,1.01,1.0
166,Európai vállalati kötvény eszközalap,2025-06-11,1.3144,2025-06-12,1.315,0.0004,0.2823,1.0004,0.9989,-0.11
167,Fejlõdõ piaci részvény ESG eszközalap-D,2025-06-11,1.0445,2025-06-12,1.0449,0.0004,0.9764,1.0004,1.0219,2.19
168,Fejlõdõ ázsiai részvény eszközalap,2025-06-11,1.9921,2025-06-12,2.0003,0.0041,1.0346,1.0041,1.0315,3.15
169,Fenntartható növekedés részvény eszk.,2025-06-11,3.0576,2025-06-12,3.0372,-0.0067,-0.0098,0.9933,1.0117,1.17
170,Globális egészségügyi részvény eszk.,2025-06-11,3.2279,2025-06-12,3.2433,0.0048,0.3139,1.0048,1.0243,2.43
171,Globális növekedési részvény eszközalap,2025-06-11,2.2857,2025-06-12,2.2729,-0.0056,-0.4313,0.9944,1.0013,0.13
172,Kiegyensúlyozott vegyes eszközalap - D,2025-06-11,1.3786,2025-06-12,1.3766,-0.0015,0.3567,0.9985,1.0032,0.32
173,Latin-amerikai részvény eszközalap,2025-06-11,1.0931,2025-06-12,1.0979,0.0044,0.2568,1.0044,1.0103,1.03
174,Magas kötvény arányú vegyes eszk. - D,2025-06-11,1.0962,2025-06-12,1.0953,-0.0008,0.3203,0.9992,1.0004,0.04
175,Magas védelmû vegyes eszközalap,2025-06-11,1.0941,2025-06-12,1.0928,-0.0012,-0.0091,0.9988,1.0013,0.13
176,Nemz. élelmiszeripari cégek rv. ea - D,2025-06-11,3.2885,2025-06-12,3.263,-0.0078,-0.2154,0.9922,0.987,-1.3
177,Nyersanyagpiaci részvény eszközalap,2025-06-11,1.3292,2025-06-12,1.3235,-0.0043,0.3776,0.9957,1.0071,0.71
178,Presztízs- és luxusmárkák rv. ea.,2025-06-11,3.3829,2025-06-12,3.379,-0.0011,1.0998,0.9989,1.0004,0.04
179,USA részvény eszközalap,2025-06-11,4.185,2025-06-12,4.1511,-0.0081,0.0406,0.9919,1.0068,0.68
180,Ázsia kötvény eszközalap,2025-06-11,2.2359,2025-06-12,2.2315,-0.002,0.1254,0.998,1.0017,0.17
181,Aktív hozamfigyelõ vegyes eszközalap - D,2025-06-12,0.9269,2025-06-13,0.9271,0.0002,-0.0539,1.0002,1.0039,0.39
182,Euró likviditás eszközalap - D,2025-06-12,0.9244,2025-06-13,0.9246,0.0003,0.0216,1.0003,0.9993,-0.07
183,Európai ingatlancégek részv. eszközalap,2025-06-12,1.9028,2025-06-13,1.8855,-0.0091,-0.8028,0.9909,0.9771,-2.29
184,Európai kötvény eszközalap - D,2025-06-12,1.2347,2025-06-13,1.2372,0.0021,-0.0081,1.0021,0.9998,-0.02
185,Európai részvény eszközalap,2025-06-12,2.5379,2025-06-13,2.5238,-0.0056,-0.3064,0.9944,1.0044,0.44
186,Európai vállalati kötvény eszközalap,2025-06-12,1.315,2025-06-13,1.3169,0.0015,0.0456,1.0015,1.0004,0.04
187,Fejlõdõ piaci részvény ESG eszközalap-D,2025-06-12,1.0449,2025-06-13,1.0317,-0.0126,0.0383,0.9874,1.009,0.9
188,Fejlõdõ ázsiai részvény eszközalap,2025-06-12,2.0003,2025-06-13,1.9879,-0.0062,0.4116,0.9938,1.0251,2.51
189,Fenntartható növekedés részvény eszk.,2025-06-12,3.0372,2025-06-13,3.016,-0.007,-0.6672,0.993,1.0047,0.47
190,Globális egészségügyi részvény eszk.,2025-06-12,3.2433,2025-06-13,3.2459,0.0008,0.4771,1.0008,1.0252,2.52
191,Globális növekedési részvény eszközalap,2025-06-12,2.2729,2025-06-13,2.2603,-0.0055,-0.56,0.9945,0.9958,-0.42
192,Kiegyensúlyozott vegyes eszközalap - D,2025-06-12,1.3766,2025-06-13,1.3734,-0.0023,-0.1451,0.9977,1.0009,0.09
193,Latin-amerikai részvény eszközalap,2025-06-12,1.0979,2025-06-13,1.0894,-0.0078,0.4391,0.9922,1.0024,0.24
