id,asset,opening_date,opening_euro_value,closing_date,closing_euro_value,yield_ratio,growth_factor,cumulative_growth,yield_ratio_cumprod,value_ma_50d,value_ma_100d,value_ma_200d,yield_ma_50d,yield_ma_100d,yield_ma_200d,ma50_diff,ma50_diff_ratio,ma100_diff,ma100_diff_ratio,ma200_diff,ma200_diff_ratio
7431,Globális növekedési részvény eszközalap,2026-06-09,2.1713,2026-06-10,2.1764,0.0023,1.0023,0.8995,-0.1005,2.165612,2.117218,2.129738,-1.3999999999999915e-05,-0.000285,-5.2499999999999995e-05,-0.010788000000000242,-0.004956809410035031,-0.05918200000000029,-0.027192611652269934,-0.04666199999999998,-0.02143999264841021
7432,Kiegyensúlyozott vegyes eszközalap - D,2026-06-09,1.4937,2026-06-10,1.4944,0.0004,1.0004,1.0329,0.0329,1.4817740000000001,1.452311,1.448923,0.00031,0.000112,0.00015450000000000001,-0.012625999999999804,-0.008448875802997727,-0.04208900000000004,-0.02816448072805142,-0.04547699999999999,-0.030431611349036398
7433,Latin-amerikai részvény eszközalap,2026-06-09,1.3138,2026-06-10,1.3225,0.0067,1.0067,1.1699,0.1699,1.41308,1.420609,1.374503,-0.0017980000000000001,-0.0001910000000000001,0.0006295,0.09057999999999988,0.06849149338374282,0.098109,0.07418449905482041,0.05200300000000002,0.039321739130434796
7434,Magas kötvény arányú vegyes eszk. - D,2026-06-09,1.1318,2026-06-10,1.1322,0.0003,1.0003,1.0124,0.0124,1.127522,1.1159599999999998,1.1182775,0.00017999999999999998,-2.0000000000000025e-06,8.35e-05,-0.004678000000000182,-0.004131778837661351,-0.016240000000000254,-0.014343755520226332,-0.01392250000000006,-0.012296855679208673
7435,Magas védelmû vegyes eszközalap,2026-06-09,1.1207,2026-06-10,1.1199,-0.0007,0.9993,1.0178,0.0178,1.1158700000000001,1.113179,1.1139445000000001,7.399999999999998e-05,2.5000000000000005e-05,0.00011650000000000001,-0.004029999999999756,-0.0035985355835340266,-0.006720999999999977,-0.006001428698990961,-0.00595549999999978,-0.005317885525493152
7436,Nemz. élelmiszeripari cégek rv. ea - D,2026-06-09,3.3208,2026-06-10,3.3464,0.0077,1.0077,1.1306,0.1306,3.343048,3.340181,3.3013765,0.001654,0.00014300000000000003,0.0005960000000000001,-0.0033520000000000216,-0.0010016734401147567,-0.006219000000000197,-0.0018584150131485168,-0.045023500000000105,-0.013454309108295513
7437,Nyersanyagpiaci részvény eszközalap,2026-06-09,1.6422,2026-06-10,1.6262,-0.0098,0.9902,1.0663,0.0663,1.665984,1.647586,1.5932169999999999,-0.001158,-0.000609,0.000548,0.03978399999999982,0.024464395523305753,0.021385999999999905,0.013150903947853834,-0.03298300000000021,-0.020282253105399217
7438,Presztízs- és luxusmárkák rv. ea.,2026-06-09,3.4714,2026-06-10,3.4884,0.0049,1.0049,1.1206,0.1206,3.3878159999999995,3.3717349999999997,3.5234634999999996,0.0009899999999999998,0.000559,0.0005665000000000001,-0.10058400000000045,-0.028833849329205494,-0.11666500000000024,-0.0334436991170738,0.03506349999999969,0.010051456255016538
7439,USA részvény eszközalap,2026-06-09,4.9193,2026-06-10,4.9043,-0.0031,0.9969,1.0092,0.0092,4.88496,4.68791,4.6526,0.000644,0.00020899999999999988,0.00010299999999999996,-0.01933999999999969,-0.003943478172216156,-0.21639000000000053,-0.044122504740737825,-0.2517000000000005,-0.05132230899414809
7440,Ázsia kötvény eszközalap,2026-06-09,2.2868,2026-06-10,2.2798,-0.0031,0.9969,1.0461,0.0461,2.2631959999999998,2.2655060000000002,2.2609565000000003,0.0002920000000000001,3.5000000000000004e-05,5.35e-05,-0.016604000000000063,-0.007283095008334093,-0.014293999999999585,-0.006269848232300897,-0.01884349999999957,-0.008265418019124296
